objectid,title,description,orthography,orthography_tone,ipa,part_of_speech,semantic_domain,tone_melody,syllable_structure,phonation_type,english,spanish,speaker,notes,object_location,format,display_template
kani-03,káñì,to hunt,kañi,káñì,[káŋì],verb (continuative),Actions and activities,HL,CVCV,modal,to hunt,cazar,NGC,,objects/cazar.wav,audio/wav,audio
kani-ta-an-01,kàni tá'àn,fight2 ,kani ta'an,kàni tá'àn,[kàni táˀã̀],verb (completive),Actions and activities,LM HL,CVCV CV?V,multiple word types,fight2 ,pelear ,,,,,
kani-ta-an-02,káni tá'àn,fight2 ,kani ta'an,káni tá'àn,[káni táˀã̀],verb (continuative),Actions and activities,HM HL,CVCV CV?V,multiple word types,fight2 ,pelear  ,,,,,
kani-ta-an-03,kani tá'àn,fight2 ,kani ta'an,kani tá'àn,[kani táˀã̀],verb (potential),Actions and activities,MM HL,CVCV CV?V,multiple word types,fight2 ,pelear ,,,,,
kani-i-01,kani'i,carry/hold ,kani'i,kani'i,[kãiˀi],verb (potential),Actions and activities,MMM,CVV?V,glottalized,carry/hold ,llevar ,,,,,
kantsia-01,kántsia,to cut ,kantsia,kántsia,[káⁿt͡sʲā],verb (continuative),Actions and activities,HM,CVCV,modal,to cut ,cortar ,NGC,,objects/cortar.wav,audio/wav,audio
kantsita-01,kantsita,hop ,kantsita,kantsita,[kaⁿt͡sʲta],verb (completive),Actions and activities,MM,CVCCCV,modal,hop ,brincar ,,,,,
kantsita-02,kántsita,hop ,kantsita,kántsita,[káⁿt͡sʲta],verb (continuative),Actions and activities,HM,CVCCCV,modal,hop ,brincar ,,,,,
kantsita-03,kàntsita,hop ,kantsita,kàntsita,[kàⁿt͡sʲta],verb (potential),Actions and activities,LM,CVCCCV,modal,hop ,brincar ,,,,,
kantu-u-01,kántù'ù,lie down ,kantu'u,kántù'ù,[ka᷈́túˀù],verb (continuative),Actions and activities,HHL,CVCV?V,glottalized,lie down ,acostarse ,,,,,
kantu-u-02,kantú'ù,lie down ,kantu'u,kantú'ù,[kãtúˀù],verb (potential),Actions and activities,MHL,CVCV?V,glottalized,lie down ,acostarse ,,,,,
kanu-u-01,kàñū'ú,quail,kañu'u,kàñū'ú,[kàñūˀú],noun,wild animals,LMH,CVCV?V,glottalized,quail,cordoniz,JGO,,,,
karo-lo-o-01,karo lo'o,a small car,karo lo'o,,[karo loˀo],noun,modern things,,CVCV CV?V,glottalized,a small car,un carrito,NGC,,,,
karo-vali-01,karo vali,small cars,karo vali,,[karo βali],noun,modern things,,CVCV CVCV,modal,small cars,carritos,NGC,,objects/carritos.wav,audio/wav,audio
kasa-01,kasa,do ,kasa,kasa,[kaʰsa],verb (potential),Actions and activities,MM,CVCV,modal,do ,hacer ,JGO,,,,
kasa-ntutsia-01,kasa ntutsiǎ,baptize (tr) ,kasa ntutsia,kasa ntutsiǎ,[kasa ⁿtut͡sʲǎ],verb (completive),Actions and activities,MM MR,CVCV CVCCV,modal,baptize (tr) ,bautisar ,,,,,
kasa-a-01,kàsa'a,cook/make ,kasa'a,kàsa'a,[kàsaˀa],verb (completive),"food, drink, and cooking",LMM,CVCV?V,glottalized,cook/make ,hacer/ cocinar ,,,,,
kasa-a-02,kásà'a,cook/make ,kasa'a,kásà'a,[kásàˀa],verb (continuative),"food, drink, and cooking",HLM,CVCV?V,glottalized,cook/make ,hacer/ cocinar ,,,,,
kasa-a-03,kasà'a,cook/make ,kasa'a,kasà'a,[kasàˀa],verb (potential),"food, drink, and cooking",MLM,CVCV?V,glottalized,cook/make ,hacer/ cocinar ,,,,,
kasini-01,kasìnì,eat breakfast ,kasini,kasìnì,[kasìnì],verb (potential),"food, drink, and cooking",MLL,CVCVCV,modal,eat breakfast ,desayunar ,,,,,
kasun-01,kásùn,toasted,kasun,kásùn,[kásùn],adjective,"food, drink, and cooking",HL,CVCVC,pre-aspirated,toasted,tostado,,,,,
kasun-02,kásùn,toast,kasun,kásùn,,verb (potential),"food, drink, and cooking",,,,toast,dorar,,,,,
kata-a-01,kátá'ǎ,fights,kata'a,kátá'ǎ,[kátáˀǎ],verb (continuative),Actions and activities,HHR,CVCV?V,glottalized,fights,lucha,,,objects/lucha.wav,audio/wav,audio
kata-an-01,kàtǎ'àn,fight/crash ,kata'an,kàtǎ'àn,[kàtǎˀa᷈̀],verb (completive),Actions and activities,LRL,CVCV?V,glottalized,fight/crash ,chocar ,,,,,
kata-an-02,kátá'àn,fight/crash ,kata'an,kátá'àn,[kátáˀa᷈̀],verb (continuative),Actions and activities,HHL,CVCV?V,glottalized,fight/crash ,chocar ,,,,,
kata-an-03,katá'àn,fight/crash ,kata'an,katá'àn,[katáˀa᷈̀],verb (potential),Actions and activities,MHL,CVCV?V,glottalized,fight/crash ,chocar ,,,,,
katavi-01,kàtavǐ,push/press ,katavi,kàtavǐ,[kàtǎβǐ],verb (completive),Actions and activities,LRR,CVCVCV,modal,push/press ,pulsar ,,,,,
katavi-02,kátàvǐ,push/press ,katavi,kátàvǐ,[kátàβǐ],verb (continuative),Actions and activities,HLR,CVCVCV,modal,push/press ,pulsar ,,,,,
katavi-03,katàvǐ,push/press ,katavi,katàvǐ,[katàβǐ],verb (potential),Actions and activities,MLR,CVCVCV,modal,push/press ,pulsar ,,,,,
katyi-01,kátyi,to say ,katyi,kátyi,[káʰtʃi],verb (continuative),Actions and activities,HM,CVCV,modal,to say ,decir,JGO,,,,
katyi-02,katyi,say ,katyi,katyi,[kat͡ʃi],verb (completive),Actions and activities,MM,CVCV,modal,say ,decir ,,,,,
katyi-03,kátyi,say ,katyi,kátyi,[kát͡ʃi],verb (continuative),Actions and activities,HM,CVCV,modal,say ,decir ,,,,,
